"CHEM_COMP_ID","DESCRIPTOR"
"6E8","UHVUUCAAVHIPKM-UHFFFAOYSA-N"
"3XW","DETOMBLLEOZTMZ-UHFFFAOYSA-N"
"3HX","HUOGRSGQHCPAGO-ZETCQYMHSA-N"
"DHQ","RLLZPXDJYADIEU-UHFFFAOYSA-N"
"FM8","CGKYBZFXVQNZBL-SFHVURJKSA-N"
"QFR","SJWOQSNEWHFLAZ-RVNGOIKDSA-N"
"Y80","WQITZMVRSQPEBE-HMMYKYKNSA-N"
"9P2","ITACCRHKSPSKKL-UHFFFAOYSA-N"
"TUW","GDVBWGYVVZIZIR-GDLZYMKVSA-N"
"O5P","MZWBXVWTKIKBTJ-QGZVFWFLSA-N"
"VO3","JXIADNYSXBZKBU-UHFFFAOYSA-N"
"ORF","HHZXBCQTDGQCBH-JOCHJYFZSA-N"
"XLV","PYNDWPFZDQONDV-UHFFFAOYSA-N"
"2J0","SUPGJTRQQWHNCH-UHFFFAOYSA-N"
"47I","OYKIIJTXTXJYKZ-UHFFFAOYSA-O"
"ZX0","WWLDRJMXWRULQB-AEJSXWLSSA-N"
"FBX","PCOBBVZJEWWZFR-UHFFFAOYSA-N"
"KBK","LUULKKFHGAQKEF-LLVKDONJSA-N"
"6KJ","TUOBZAXIKVQKKU-PQHBYJLHSA-N"
"435","UPZISPNEBVCTRN-QURGRASLSA-N"
"FLP","SYTBZMRGLBWNTM-JTQLQIEISA-N"
"TUM","YJQCOFNZVFGCAF-DCSBULBVSA-N"
"BMZ","URJKRCBBKTXOHS-UHFFFAOYSA-O"
"HTW","VIYRJCLPOZQRSZ-NSIVTLKISA-N"
"1BS","DQYKHJYAOKSEPD-QFIPXVFZSA-N"
"3DY","DCQFFOLNJVGHLW-ZSNZIGRDSA-N"
"EGW","GKQVMMKXPPAKMY-UHFFFAOYSA-N"
"DRA","OQDCVONZQOVIMP-UNQJTBPASA-N"
"NJ4","NNSKRYOPSCFRHX-PHMAWBAJSA-N"
"XCH","JHSXDAWGLCZYSM-UHFFFAOYSA-N"
"ABP","KVVVTFSHHQCHNZ-UUOKFMHZSA-N"
"JJA","QEJZUENJDZMHGE-UHFFFAOYSA-N"
"3AV","FXFYOPQLGGEACP-UHFFFAOYSA-N"
"F72","ZALSSBYFYBCJII-URLMMPGGSA-N"
"9VT","OGQQDXKQAWKFFF-UHFFFAOYSA-N"
"8SY","ULWJTPAOSJSHFG-UHFFFAOYSA-N"
"21D","XTEGVFVZDVNBPF-UHFFFAOYSA-N"
"X8H","CTOWFYUCLIAQOJ-XPIHRMQRSA-N"
"W18","GAMWLCYIWNUQSS-SNVBAGLBSA-N"
"5LI","QOBOQKAHMKWYEE-UHFFFAOYSA-N"
"642","BFZXMIUWGSTUAL-ZSOKXDGFSA-N"
"9LH","MEYZYGMYMLNUHJ-DIRMKAHISA-N"
"84G","MKKYBZZTJQGVCD-XTCKQBCOSA-N"
"G0K","SNMQSFPKJXPDDI-UHFFFAOYSA-N"
"G13","FTXKVJPIFDKIID-YBAXTEPTSA-N"
"ZZ8","QSACCXVHEVWNMX-UHFFFAOYSA-N"
"W07","NSXHQTLHHLJUGK-UGKGYDQZSA-N"
